command,mean,stddev,median,user,system,min,max
./main < ./31000.txt,0.012460310322222215,0.005323318989176224,0.011705690300000002,0.01153592195555555,0.0014033615999999992,0.006173804300000001,0.0280469793
./main < ./730000.txt,0.20659792380000003,0.0019045437129083904,0.20639050680000004,0.19808975999999995,0.008466002999999998,0.20379631930000003,0.21968968430000002
./main < ./850000.txt,0.26600103983000006,0.0014855010735431978,0.2660448983,0.25738472999999995,0.008522732999999996,0.2636492843,0.2708864213
./main < ./550000.txt,0.15589173314999996,0.0012954712978995664,0.1558167058,0.15004439999999997,0.005877174199999998,0.1530492913,0.15974564430000002
./main < ./970000.txt,0.30736189325999996,0.0017425087113599272,0.3070194133,0.2964614799999999,0.010771469999999995,0.3044711553,0.3170123533
./main < ./3700.txt,0.0068056260173852585,0.003212425289979066,0.0086132223,0.004881431210013908,0.0022749849791376896,0,0.0091803773
./main < ./9900.txt,0.00983661246605166,0.004886276186654933,0.013102406300000001,0.007935397785977853,0.002234637047970478,0.0010201443000000003,0.013457973299999999
./main < ./69000.txt,0.015281085491082801,0.0007003438776444967,0.0149803633,0.014690649171974525,0.0011068163057324839,0.0148181543,0.0182911603
./main < ./6700.txt,0.008224571535735725,0.004030457865690785,0.0107860508,0.006488973993993993,0.0020613113513513522,0.0003275413000000003,0.0113460833
./main < ./370.txt,0.005920525195480223,0.0013286029920808193,0.006231250300000001,0.0038251049717514104,0.0023845040677966116,0,0.007269728300000001
./main < ./44000.txt,0.010834369590780142,0.0021390266713385473,0.010378929300000003,0.010332552907801416,0.0009976127659574463,0.0085210493,0.0169935773
./main < ./870000.txt,0.27368259403,0.0017300065495787715,0.2734071693,0.26424503999999993,0.0093366906,0.2708237743,0.2801034663
./main < ./410000.txt,0.10836294856999999,0.0007722667532217442,0.10822035330000002,0.10402584999999995,0.004403674799999999,0.1066202883,0.11015744930000002
./main < ./300000.txt,0.07523165238000001,0.0006634290323600836,0.07512256880000001,0.07229915000000002,0.003111563199999999,0.0741009403,0.0778601963
./main < ./800.txt,0.005599669287204453,0.002138183460200646,0.0065225233,0.003682655744089019,0.002250858164116828,0,0.0076992483
./main < ./26.txt,0.005389347947098978,0.0017389432800011253,0.006002759300000001,0.0035243402047781544,0.0021259344027303754,0,0.006558396300000001
./main < ./200.txt,0.005371606110958903,0.001944201096979029,0.0061266968,0.0033647484931506864,0.002280890890410958,0,0.0066187613000000005
./main < ./2700.txt,0.006606476053099728,0.002729344950971071,0.0079473493,0.004659999460916441,0.0021659777897574126,0,0.0083960683
./main < ./62.txt,0.005339275404436859,0.0018080825007435613,0.006018352300000001,0.0033160166552901015,0.0023098747440273046,0,0.0067010523
./main < ./67.txt,0.005488039170508475,0.0016237589289954803,0.006021604300000001,0.003347566101694916,0.0024443001355932206,0,0.0062989513
./main < ./72.txt,0.00470809395650685,0.0023972222901788537,0.006023287800000001,0.0028799554794520553,0.0022380931506849307,0,0.007069397300000001
./main < ./48.txt,0.005565906831292516,0.0015920858512870615,0.006023978300000001,0.0033673650340136072,0.0025006454421768695,0,0.006936376300000001
./main < ./950.txt,0.0053761533458781385,0.002391221740454455,0.0066049853,0.0036637988530465967,0.0021153862365591394,0,0.0071283923
./main < ./820000.txt,0.23814980143999992,0.0014549486349125392,0.23791266980000003,0.2302417599999999,0.007857223600000001,0.23557507230000002,0.24306881730000002
./main < ./74.txt,0.004910333136717662,0.0022284164168102447,0.0060246283,0.0031439952155771925,0.002091757273991655,0,0.0066911663000000015
./main < ./260.txt,0.005478861792072327,0.001856004463034502,0.0061519233000000015,0.0034549908205841434,0.002332931098748262,0,0.0074850423000000004
./main < ./4300.txt,0.006834611975438601,0.003468217335661057,0.0090059683,0.004346468070175439,0.0027177682456140336,0,0.0093326483
